2026-04-14 17:27:09,935 | INFO     | mcp_web_search.cli | MCP Server initialized
2026-04-14 17:27:09,937 | INFO     | mcp_web_search.cli | Loaded MCP tools: ['Web Search']
2026-04-14 17:27:28,600 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 404 Not Found"
2026-04-14 17:39:20,823 | INFO     | mcp_web_search.cli | MCP Server initialized
2026-04-14 17:39:20,825 | INFO     | mcp_web_search.cli | Loaded MCP tools: ['Web Search']
2026-04-14 17:39:42,953 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:39:42,955 | INFO     | mcp_web_search.cli | Tool call: Web Search({'query': 'Nvidia stock price USD'})
2026-04-14 17:43:07,032 | INFO     | mcp_web_search.cli | MCP Server initialized
2026-04-14 17:43:07,034 | INFO     | mcp_web_search.cli | Loaded MCP tools: ['Web Search']
2026-04-14 17:43:10,221 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:43:10,222 | INFO     | mcp_web_search.cli | Tool call: Web Search({'query': 'Nvidia current stock price USD'})
2026-04-14 17:44:37,232 | INFO     | mcp_web_search.cli | MCP Server initialized
2026-04-14 17:44:37,233 | INFO     | mcp_web_search.cli | Loaded MCP tools: ['Web Search']
2026-04-14 17:44:40,461 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:44:40,462 | INFO     | mcp_web_search.cli | Tool call: Web Search({'query': 'Nvidia stock price USD'})
2026-04-14 17:45:09,754 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:45:25,394 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:45:40,322 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:47:00,141 | INFO     | mcp_web_search.cli | MCP Server initialized
2026-04-14 17:47:00,143 | INFO     | mcp_web_search.cli | Loaded MCP tools: ['Web Search']
2026-04-14 17:47:13,337 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:47:13,338 | INFO     | mcp_web_search.cli | Tool call: Web Search({'query': 'NVIDIA stock price USD'})
2026-04-14 17:51:34,073 | INFO     | mcp_web_search.cli | MCP Server initialized
2026-04-14 17:51:34,075 | INFO     | mcp_web_search.cli | Loaded MCP tools: ['Web Search']
2026-04-14 17:52:06,744 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2026-04-14 17:53:35,314 | INFO     | mcp_web_search.cli | MCP Server initialized
2026-04-14 17:53:35,316 | INFO     | mcp_web_search.cli | Loaded MCP tools: ['Web_Search']
2026-04-14 17:54:07,540 | INFO     | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
